Address:,USB0::0x0957::0x179B::MY54313426::0::INSTR,,Analog Channels,,
Model:,DSO-X 2002A,,Time (s),1 (VOLT),
Serial Number:,MY54313426,,-0.0250000004,-0.00425552780507132,
Firmware Version:,02.65.2021030741,,-0.0249479170675,-0.00425552780507132,
Start Time:,2023-03-01 09:54:25.516,,-0.024895833735,-0.00425552780507132,
,,,-0.0248437504025,-0.00425552780507132,
,,,-0.02479166707,-0.00425552780507132,
,,,-0.0247395837375,-0.00425552780507132,
,,,-0.024687500405,-0.00425552780507132,
,,,-0.0246354170725,-0.00425552780507132,
,,,-0.02458333374,-0.00425552780507132,
,,,-0.0245312504075,-0.00425552780507132,
,,,-0.024479167075,-0.00425552780507132,
,,,-0.0244270837425,-0.00425552780507132,
,,,-0.02437500041,-0.00425552780507132,
,,,-0.0243229170775,-0.00425552780507132,
,,,-0.024270833745,-0.00425552780507132,
,,,-0.0242187504125,-0.00438115594442934,
,,,-0.02416666708,-0.00425552780507132,
,,,-0.0241145837475,-0.00425552780507132,
,,,-0.024062500415,-0.00425552780507132,
,,,-0.0240104170825,-0.00412989966571331,
,,,-0.02395833375,-0.00425552780507132,
,,,-0.0239062504175,-0.00425552780507132,
,,,-0.023854167085,-0.00425552780507132,
,,,-0.0238020837525,-0.00412989966571331,
,,,-0.02375000042,-0.00425552780507132,
,,,-0.0236979170875,-0.00425552780507132,
,,,-0.023645833755,-0.00412989966571331,
,,,-0.0235937504225,-0.00412989966571331,
,,,-0.02354166709,-0.00412989966571331,
,,,-0.0234895837575,-0.00425552780507132,
,,,-0.023437500425,-0.00412989966571331,
,,,-0.0233854170925,-0.00412989966571331,
,,,-0.02333333376,-0.00425552780507132,
,,,-0.0232812504275,-0.00412989966571331,
,,,-0.023229167095,-0.00412989966571331,
,,,-0.0231770837625,-0.00412989966571331,
,,,-0.02312500043,-0.00425552780507132,
,,,-0.0230729170975,-0.00412989966571331,
,,,-0.023020833765,-0.00412989966571331,
,,,-0.0229687504325,-0.00425552780507132,
,,,-0.0229166671,-0.00425552780507132,
,,,-0.0228645837675,-0.00425552780507132,
,,,-0.022812500435,-0.00412989966571331,
,,,-0.0227604171025,-0.00412989966571331,
,,,-0.02270833377,-0.00425552780507132,
